iter	Passed	Remaining
440	1298	1646
441	1301	1642
442	1304	1639
443	1306	1636
444	1310	1634
445	1313	1631
446	1315	1627
447	1318	1624
448	1321	1621
449	1324	1618
450	1327	1615
451	1328	1610
452	1330	1607
453	1334	1604
454	1337	1601
455	1339	1597
456	1341	1594
457	1344	1591
458	1348	1589
459	1350	1585
460	1353	1582
461	1355	1578
462	1358	1575
463	1361	1572
464	1363	1569
465	1366	1565
466	1368	1562
467	1371	1558
468	1373	1554
469	1375	1551
470	1377	1547
471	1380	1544
472	1383	1541
473	1385	1537
474	1388	1535
475	1390	1531
476	1393	1527
477	1395	1524
478	1398	1521
479	1400	1517
480	1403	1514
481	1406	1511
482	1409	1508
483	1411	1505
484	1414	1501
485	1416	1498
486	1419	1495
487	1422	1492
488	1424	1488
489	1427	1485
490	1430	1482
491	1432	1479
492	1435	1476
493	1438	1473
494	1440	1469
495	1442	1466
496	1445	1462
497	1448	1459
498	1450	1456
499	1453	1453
500	1455	1449
501	1458	1446
502	1460	1443
503	1463	1440
504	1465	1436
505	1468	1433
506	1470	1430
507	1473	1426
508	1475	1422
509	1477	1419
510	1480	1416
511	1483	1414
512	1486	1411
513	1489	1408
514	1492	1405
515	1495	1402
516	1499	1400
517	1500	1396
518	1503	1393
519	1506	1390
520	1508	1387
521	1511	1383
522	1513	1380
523	1516	1377
524	1519	1374
525	1522	1371
526	1524	1368
527	1527	1365
528	1530	1362
529	1532	1358
530	1536	1356
531	1542	1356
532	1544	1352
533	1546	1349
534	1549	1346
535	1551	1343
536	1555	1340
537	1558	1337
538	1560	1334
539	1563	1331
540	1565	1328
541	1568	1325
542	1572	1323
543	1575	1320
544	1578	1317
545	1580	1314
546	1588	1315
547	1591	1312
548	1593	1309
549	1596	1306
550	1599	1303
551	1602	1300
552	1604	1296
553	1607	1294
554	1610	1291
555	1614	1289
556	1617	1286
557	1620	1283
558	1623	1281
559	1627	1278
560	1629	1275
561	1633	1273
562	1636	1270
563	1639	1267
564	1642	1264
565	1644	1261
566	1647	1258
567	1650	1255
568	1653	1252
569	1656	1249
570	1659	1246
571	1661	1243
572	1664	1240
573	1667	1237
574	1670	1234
575	1673	1232
576	1676	1229
577	1679	1225
578	1681	1222
579	1685	1220
580	1688	1217
581	1691	1214
582	1693	1211
583	1697	1208
584	1699	1205
585	1701	1202
586	1703	1198
587	1706	1195
588	1708	1192
589	1711	1189
590	1713	1186
591	1716	1183
592	1719	1180
593	1722	1177
594	1725	1174
595	1727	1170
596	1729	1167
597	1732	1164
598	1735	1161
599	1739	1159
600	1743	1157
601	1745	1154
602	1748	1151
603	1751	1148
604	1760	1149
605	1765	1147
606	1768	1145
607	1771	1142
608	1773	1138
609	1777	1136
610	1780	1133
611	1783	1130
612	1786	1127
613	1788	1124
614	1791	1121
615	1794	1118
616	1796	1115
617	1798	1111
618	1801	1109
619	1805	1106
620	1808	1103
621	1813	1102
622	1816	1099
623	1818	1095
624	1822	1093
625	1825	1090
626	1828	1087
627	1830	1084
628	1833	1081
629	1837	1079
630	1840	1076
631	1842	1072
632	1844	1069
633	1846	1065
634	1848	1062
635	1851	1059
636	1856	1057
637	1858	1054
638	1861	1051
639	1864	1048
640	1867	1045
641	1869	1042
642	1871	1039
643	1874	1036
644	1877	1033
645	1880	1030
646	1882	1027
647	1885	1024
648	1888	1021
649	1890	1018
650	1894	1015
651	1897	1012
652	1900	1009
653	1903	1006
654	1906	1004
655	1908	1000
656	1911	998
657	1913	994
658	1916	991
659	1918	988
660	1921	985
661	1924	982
662	1926	979
663	1929	976
664	1931	973
665	1934	970
666	1936	967
667	1939	963
668	1942	961
669	1945	958
670	1948	955
671	1951	952
672	1954	949
673	1957	946
674	1959	943
675	1964	941
676	1968	938
677	1971	936
678	1981	936
679	1985	934
680	1989	931
681	1992	928
682	1994	925
683	1997	923
684	2000	920
685	2003	916
686	2006	913
687	2009	911
688	2019	911
689	2022	908
690	2024	905
691	2028	902
692	2032	900
693	2035	897
694	2038	894
695	2040	891
696	2045	889
697	2047	886
698	2050	883
699	2054	880
700	2058	878
701	2061	875
702	2063	871
703	2067	869
704	2069	866
705	2074	863
706	2078	861
707	2081	858
708	2085	855
709	2087	852
710	2090	849
711	2093	846
712	2095	843
713	2097	840
714	2100	837
715	2102	834
716	2105	830
717	2107	827
718	2110	824
719	2112	821
720	2114	818
721	2117	815
722	2120	812
723	2123	809
724	2126	806
725	2128	803
726	2131	800
727	2133	797
728	2136	794
729	2138	790
730	2141	788
731	2143	784
732	2146	781
733	2148	778
734	2150	775
735	2154	772
736	2156	769
737	2159	766
738	2162	763
739	2164	760
740	2167	757
741	2170	754
742	2172	751
743	2174	748
744	2177	745
745	2179	742
746	2182	739
747	2184	736
748	2187	733
749	2190	730
750	2193	727
751	2195	724
752	2198	721
753	2201	718
754	2204	715
755	2206	712
756	2208	708
757	2211	705
758	2214	703
759	2216	699
760	2220	697
761	2222	694
762	2225	691
763	2228	688
764	2230	685
765	2233	682
766	2235	679
767	2238	676
768	2241	673
769	2244	670
770	2246	667
771	2249	664
772	2251	661
773	2254	658
774	2256	655
775	2259	652
776	2262	649
777	2264	646
778	2267	643
779	2270	640
780	2272	637
781	2275	634
782	2278	631
783	2281	628
784	2284	625
785	2287	622
786	2291	620
787	2294	617
788	2296	614
789	2299	611
790	2301	608
791	2304	605
792	2307	602
793	2309	599
794	2312	596
795	2314	593
796	2317	590
797	2320	587
798	2323	584
799	2326	581
800	2329	578
801	2331	575
802	2335	572
803	2337	569
804	2340	566
805	2342	563
806	2344	560
807	2347	557
808	2349	554
809	2351	551
810	2354	548
811	2359	546
812	2362	543
813	2365	540
814	2368	537
815	2370	534
816	2374	531
817	2379	529
818	2381	526
819	2384	523
820	2386	520
821	2389	517
822	2392	514
823	2395	511
824	2397	508
825	2400	505
826	2403	502
827	2407	500
828	2409	497
829	2411	494
830	2415	491
831	2417	488
832	2421	485
833	2423	482
834	2425	479
835	2428	476
836	2430	473
837	2433	470
838	2436	467
839	2438	464
840	2441	461
841	2444	458
842	2446	455
843	2450	452
844	2452	449
845	2454	446
846	2457	443
847	2460	441
848	2464	438
849	2466	435
850	2469	432
851	2472	429
852	2474	426
853	2477	423
854	2480	420
855	2482	417
856	2484	414
857	2487	411
858	2491	408
859	2493	405
860	2495	402
861	2498	400
862	2501	397
863	2503	394
864	2506	391
865	2509	388
866	2511	385
867	2514	382
868	2517	379
869	2520	376
870	2522	373
871	2524	370
872	2528	367
873	2530	364
874	2532	361
875	2535	358
876	2537	355
877	2540	352
878	2542	349
879	2544	347
880	2547	344
881	2549	341
882	2552	338
883	2555	335
884	2558	332
885	2560	329
886	2563	326
887	2565	323
888	2567	320
889	2570	317
890	2573	314
891	2576	311
892	2579	309
893	2581	306
894	2584	303
895	2586	300
896	2589	297
897	2591	294
898	2594	291
899	2596	288
900	2599	285
901	2601	282
902	2604	279
903	2606	276
904	2608	273
905	2610	270
906	2613	267
907	2615	265
908	2618	262
909	2621	259
910	2624	256
911	2626	253
912	2628	250
913	2631	247
914	2634	244
915	2636	241
916	2638	238
917	2641	235
918	2644	233
919	2647	230
920	2650	227
921	2653	224
922	2655	221
923	2658	218
924	2661	215
925	2664	212
926	2666	210
927	2669	207
928	2671	204
929	2674	201
930	2677	198
931	2679	195
932	2681	192
933	2684	189
934	2687	186
935	2691	184
936	2693	181
937	2696	178
938	2698	175
939	2701	172
940	2703	169
941	2706	166
942	2709	163
943	2712	160
944	2714	157
945	2716	155
946	2719	152
947	2722	149
948	2724	146
949	2727	143
950	2730	140
951	2732	137
952	2735	134
953	2737	132
954	2741	129
955	2744	126
956	2747	123
957	2749	120
958	2752	117
959	2755	114
960	2758	111
961	2760	109
962	2764	106
963	2766	103
964	2769	100
965	2771	97
966	2774	94
967	2776	91
968	2779	88
969	2781	86
970	2783	83
971	2786	80
972	2789	77
973	2792	74
974	2794	71
975	2797	68
976	2799	65
977	2802	63
978	2804	60
979	2807	57
980	2809	54
981	2812	51
982	2814	48
983	2817	45
984	2819	42
985	2822	40
986	2825	37
987	2827	34
988	2830	31
989	2833	28
990	2837	25
991	2840	22
992	2843	20
993	2845	17
994	2849	14
995	2852	11
996	2855	8
997	2857	5
998	2859	2
999	2862	0
